"Gene","FC","log2(FC)","raw.pval","-log10(p)"
"P00492",0.086086,-3.5381,0.0024229,2.6157
"P05109",0.20461,-2.2891,0.0024303,2.6143
"P84243",0.10443,-3.2594,0.002461,2.6089
"P09972",0.084171,-3.5705,0.0024742,2.6066
"P22894",0.094589,-3.4022,0.0026532,2.5762
"Q99497",0.14602,-2.7757,0.0027283,2.5641
"O75015",0.14273,-2.8086,0.0029258,2.5338
"P16870",0.46137,-1.116,0.0032888,2.483
"P04632",0.0673,-3.8932,0.0034707,2.4596
"O00764",0.044742,-4.4822,0.0035066,2.4551
"P23528",0.23287,-2.1024,0.0035893,2.445
"Q14624",0.23559,-2.0857,0.0036857,2.4335
"Q9UHL4",0.3218,-1.6358,0.0037495,2.426
"P28325",0.49824,-1.0051,0.003796,2.4207
"Q6UX06",0.12472,-3.0032,0.0038106,2.419
"P01011",0.045208,-4.4673,0.003833,2.4165
"P11021",0.47256,-1.0814,0.0039614,2.4022
"P35326",0.21999,-2.1845,0.0042197,2.3747
"Q92820",0.21193,-2.2383,0.0042957,2.367
"IPI00447449",4.8686,2.2835,0.0045056,2.3462
"IPI00550825",4.8686,2.2835,0.0045056,2.3462
"IPI00549255",4.8686,2.2835,0.0045056,2.3462
"Q6GMV8",4.8686,2.2835,0.0045056,2.3462
"Q6IPQ0",4.8686,2.2835,0.0045056,2.3462
"IPI00549303",5.3663,2.4239,0.0045797,2.3392
"P17174",0.42075,-1.249,0.0045835,2.3388
"P04792",0.3172,-1.6565,0.0045977,2.3375
"IPI00550224",4.4237,2.1452,0.0046482,2.3327
"IPI00395655",5.1256,2.3577,0.00476,2.3224
"Q8N5F4",5.1256,2.3577,0.00476,2.3224
"IPI00550218",5.1256,2.3577,0.00476,2.3224
"IPI00550990",8.314,3.0555,0.004926,2.3075
"IPI00411959",6.0075,2.5868,0.0051541,2.2879
"P05164",0.10595,-3.2386,0.0051804,2.2856
"IPI00413835",5.8629,2.5516,0.0052564,2.2793
"Q9UGM3",0.4028,-1.3119,0.0053079,2.2751
"P51149",0.24337,-2.0388,0.0053093,2.275
"IPI00412929",5.8074,2.5379,0.0053308,2.2732
"P52565",0.1137,-3.1368,0.0055217,2.2579
"A0A0C4DH38",0.24164,-2.0491,0.0055621,2.2548
"P0DOX6",0.26538,-1.9139,0.0057154,2.243
"P32119",0.28914,-1.7902,0.0057194,2.2426
"P49189",0.2653,-1.9143,0.0061191,2.2133
"O15145",0.28523,-1.8098,0.006126,2.2128
"Q14739",0.27284,-1.8739,0.0063816,2.1951
"Q92876",0.22426,-2.1567,0.006382,2.195
"O60235",0.090763,-3.4618,0.0064199,2.1925
"A0A087WW87",0.1598,-2.6457,0.0064428,2.1909
"Q7Z794",11.728,3.5518,0.0067615,2.17
"Q15084",0.19392,-2.3665,0.0067909,2.1681
"B2R4C5",7.1822,2.8444,0.0067986,2.1676
"Q04760",0.1957,-2.3533,0.007037,2.1526
"P11684",0.076641,-3.7057,0.0072806,2.1378
"P05090",0.15899,-2.653,0.0072815,2.1378
"P02652",0.24378,-2.0364,0.0072829,2.1377
"P05120",0.1433,-2.8029,0.0076355,2.1172
"Q14210",0.17659,-2.5015,0.0077195,2.1124
"P41218",0.10948,-3.1912,0.007754,2.1105
"P06702",0.19105,-2.388,0.0077556,2.1104
"Q8WV93",0.13778,-2.8596,0.0078485,2.1052
"IPI00479403",9.1015,3.1861,0.0081358,2.0896
"IPI00549839",9.0721,3.1814,0.0081372,2.0895
"P48668",9.1135,3.188,0.0082028,2.086
"O15511",0.19865,-2.3317,0.0082313,2.0845
"O60664",0.19802,-2.3363,0.0083178,2.08
"Q9UL46",0.14393,-2.7966,0.0085811,2.0665
"P15531",0.092926,-3.4278,0.0088078,2.0551
"P19823",0.16344,-2.6132,0.0094169,2.0261
"P22528",0.26427,-1.9199,0.0094292,2.0255
"P67936",0.050446,-4.3091,0.010431,1.9817
"P13797",0.13929,-2.8438,0.010644,1.9729
"P00558",0.41698,-1.262,0.010992,1.9589
"P06737",0.040773,-4.6162,0.011662,1.9332
"P01019",0.056557,-4.1441,0.011882,1.9251
"P61586",0.22384,-2.1595,0.01191,1.9241
"P27348",0.21993,-2.1849,0.012396,1.9067
"P26038",0.19222,-2.3792,0.013219,1.8788
"O75368",0.23076,-2.1155,0.014201,1.8477
"O43240",0.17266,-2.534,0.014539,1.8375
"P35527",74.591,6.2209,0.015528,1.8089
"IPI00412853",5.2851,2.4019,0.016344,1.7866
"IPI00477859",5.2851,2.4019,0.016344,1.7866
"IPI00413800",5.2851,2.4019,0.016344,1.7866
"P01742",0.20735,-2.2698,0.016867,1.773
"P02768",8.8557,3.1466,0.016921,1.7716
"A0A075B6I0",0.36888,-1.4388,0.018545,1.7318
"A0A0A0MT89",0.36877,-1.4392,0.018545,1.7318
"P78380",0.37656,-1.409,0.018558,1.7315
"Q9HB90",0.37618,-1.4105,0.018561,1.7314
"A0A075B6H9",0.36013,-1.4734,0.018615,1.7301
"P01857",0.30684,-1.7044,0.019387,1.7125
"Q15080",0.32446,-1.6239,0.019519,1.7095
"Q6ZVX7",0.41435,-1.2711,0.020094,1.6969
"Q9BRF8",0.31282,-1.6766,0.020457,1.6892
"P05155",0.24506,-2.0288,0.020801,1.6819
"Q96KP4",0.30644,-1.7063,0.021072,1.6763
"P01817",0.36254,-1.4638,0.021244,1.6728
"A0A0C4DH29",0.2494,-2.0035,0.021503,1.6675
"IPI00386438",7.4762,2.9023,0.021532,1.6669
"Q05639",0.2162,-2.2095,0.021568,1.6662
"O75874",0.29859,-1.7438,0.02158,1.666
"Q16610",0.33591,-1.5739,0.02187,1.6602
"Q71UI9",0.18206,-2.4575,0.022041,1.6568
"P07195",0.31675,-1.6586,0.022047,1.6567
"A0A0B4J1U3",0.22839,-2.1304,0.022851,1.6411
"P51148",0.17707,-2.4976,0.023547,1.6281
"Q9NZT1",0.2595,-1.9462,0.023575,1.6275
"Q5XKE5",79.122,6.306,0.023781,1.6238
"P14314",0.28717,-1.8,0.02383,1.6229
"P22792",0.27437,-1.8658,0.023835,1.6228
"A8MVU1",0.27819,-1.8459,0.023917,1.6213
"P04432",0.16858,-2.5685,0.02427,1.6149
"Q9HD89",0.21672,-2.2061,0.024448,1.6118
"P02042",0.16643,-2.587,0.025102,1.6003
"P20930",0.25455,-1.974,0.025425,1.5947
"Q12841",0.20363,-2.296,0.025958,1.5857
"P02753",0.38348,-1.3828,0.029296,1.5332
"IPI00332588",5.6755,2.5048,0.041682,1.3801
"IPI00240503",5.616,2.4895,0.041887,1.3779
"IPI00479902",4.6556,2.219,0.042401,1.3726
"IPI00383717",4.2888,2.1006,0.042443,1.3722
"IPI00295684",4.7063,2.2346,0.042758,1.369
"IPI00550909",5.4163,2.4373,0.043472,1.3618
"P22531",0.19094,-2.3888,0.043808,1.3584
"IPI00383111",4.4642,2.1584,0.043894,1.3576
"IPI00333429",6.3954,2.677,0.045692,1.3402
"P22532",0.27797,-1.847,0.045945,1.3378
"IPI00171834",7.5742,2.9211,0.046339,1.334
"P01833",3.1939,1.6753,0.046427,1.3332
"Q99456",5.884,2.5568,0.046485,1.3327
"IPI00412365",5.7707,2.5288,0.046755,1.3302
"P99999",0.18964,-2.3987,0.047498,1.3233
